epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2836.88,1.14969,1.14177,1.37217,0.60752,0.51231,0.40847,0.27357,1.79374,2.13057,2.07866,0.00643101,0.00643101,0.00643101
43,2901.19,1.14455,1.11858,1.37434,0.60459,0.53161,0.38053,0.25094,1.8586,2.24782,2.15506,0.00628101,0.00628101,0.00628101
44,2970.76,1.14109,1.13903,1.37028,0.59109,0.53161,0.42276,0.28552,1.77382,2.15124,2.06384,0.00612981,0.00612981,0.00612981
45,3037.69,1.14948,1.12945,1.36388,0.56064,0.52968,0.39267,0.26425,1.76228,2.25226,2.04218,0.00597754,0.00597754,0.00597754
46,3107.17,1.12184,1.10186,1.35275,0.55505,0.52151,0.40422,0.26734,1.84822,2.11341,2.12264,0.00582435,0.00582435,0.00582435
47,3173.46,1.12189,1.10452,1.35087,0.61327,0.50968,0.43238,0.28909,1.80607,2.08255,2.10243,0.0056704,0.0056704,0.0056704
48,3238.55,1.1273,1.11208,1.36742,0.59225,0.54194,0.42801,0.29138,1.74782,2.12119,2.02784,0.00551584,0.00551584,0.00551584
49,3302.02,1.12069,1.09608,1.35073,0.61294,0.52105,0.41184,0.27449,1.79973,2.17199,2.09567,0.00536081,0.00536081,0.00536081
50,3372.31,1.09068,1.07971,1.33743,0.5805,0.54645,0.41093,0.2757,1.79921,2.12183,2.08456,0.00520548,0.00520548,0.00520548
51,3439.36,1.09524,1.05586,1.33,0.59347,0.51548,0.40709,0.26845,1.84874,2.12181,2.1146,0.00505,0.00505,0.00505
52,3508.08,1.09983,1.07031,1.33571,0.54263,0.52774,0.4113,0.2734,1.85493,2.18901,2.14512,0.00489452,0.00489452,0.00489452
53,3573.25,1.06625,1.04942,1.31167,0.57747,0.52903,0.419,0.28169,1.77925,2.1264,2.09498,0.00473919,0.00473919,0.00473919
54,3641.98,1.06283,1.00965,1.31457,0.58557,0.50323,0.41201,0.27517,1.86511,2.18297,2.17802,0.00458416,0.00458416,0.00458416
55,3708.75,1.08944,1.06686,1.32199,0.58635,0.52677,0.41098,0.27722,1.81464,2.16266,2.13493,0.0044296,0.0044296,0.0044296
56,3778.7,1.07559,1.05021,1.32369,0.62901,0.50839,0.43689,0.29482,1.78386,2.12782,2.05825,0.00427565,0.00427565,0.00427565
57,3851.2,1.04122,1.00482,1.29875,0.57491,0.53806,0.39051,0.26654,1.79811,2.21369,2.13336,0.00412246,0.00412246,0.00412246
